$csv_data = <<<'CSV'
"post_title","post_name","post_status","artsgruppe","vitenskapelig_navn","kort_beskrivelse","lang_beskrivelse","storrelse","vekt","kjennetegn","levested","utbredelse","sesong_aktiv_periode","mat_naering","rodlistestatus","status_i_norge","artsdatabanken_takson_id","kilde_artsdatabanken","kilde_snl","kilde_fuglevennen_miljolaere","kilde_birdlife_fugleatlas","sist_kontrollert","importstatus"
"Brushane","brushane","publish","Fugler","Calidris pugnax","Brushane er en vadefugl kjent for hannens praktfulle fjærkrage i hekketiden.","Brushane er en vadefugl som hekker i våtmarker, myrer og fuktige enger. Hannen får i hekketiden en stor og variabel fjærkrage som brukes i spill på leikplasser. Hunnen er mindre og mer diskret. Arten lever av insekter, små krepsdyr og andre smådyr, og er vurdert som sårbar i Norge.","Ca. 20–32 cm","Ca. 70–250 g","Hannen har i hekketiden stor fjærkrage og varierende farger. Hunnen er mindre og mer brunlig. Langbeint vadefugl med relativt lite hode.","Våtmark, fuktige enger, myrer og strandenger.","Fåtallig og lokal hekkefugl i Norge.","Trekkfugl. Ses i Norge særlig vår, sommer og under trekk.","Insekter, larver, små krepsdyr, bløtdyr og annet smådyr.","VU – Sårbar","Finnes i Norge. Etablert, men fåtallig hekkefugl.","117693","https://artsdatabanken.no/arter/takson/117693","https://snl.no/brushane","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Buskskvett","buskskvett","publish","Fugler","Saxicola rubetra","Buskskvett er en liten insektspisende fugl som trives i åpne landskap med busker, enger og kantsoner.","Buskskvett er en liten spurvefugl som ofte sitter synlig på strå, gjerdestolper eller busker mens den speider etter insekter. Den er knyttet til åpne og halvåpne områder som enger, myrkanter, beitemark, kystlynghei og skogkanter. Arten er trekkfugl og lever hovedsakelig av insekter.","Ca. 12–13 cm","Ca. 14–20 g","Brunlig overside, lys underside og tydelig lys øyenbrynstripe. Hannen har mørkere kinn og oransjebrunt bryst.","Skogkanter, semi-naturlig mark, kyst, våtmark og åpne områder med busker.","Hekker spredt i store deler av Norge i egnede åpne landskap.","Trekkfugl. Ses i Norge vår til høst.","Insekter og andre smådyr, ofte fanget fra lave utsiktsposter.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4438","https://artsdatabanken.no/arter/takson/4438","https://snl.no/buskskvett","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Bydue","bydue","publish","Fugler","Columba livia subsp. domestica","Bydue er den domestiserte formen av klippedue og lever tett på mennesker i byer og tettsteder.","Bydue er en tamform/forvillet form av klippedue som trives i byer, tettsteder, havneområder og andre menneskepåvirkede miljøer. Den opptrer ofte i flokker og hekker gjerne på bygninger og andre strukturer som gir hylle- eller hulromslignende reirplasser.","Ca. 31–34 cm","Ca. 250–400 g","Kompakt due med variabel fjærdrakt. Mange har grå kropp, mørke vingebånd og grønn-lilla glans på halsen.","Byer, tettsteder, havner, gårdsområder og andre menneskepåvirkede miljøer.","Finnes i byer og tettsteder i Norge der den har tilgang på mat og reirplasser.","Hele året.","Frø, korn, matrester og annen lett tilgjengelig føde.","Ikke ordinært rødlistevurdert som naturlig hekkende art","Finnes i Norge som domestisert/forvillet form.","3927","https://artsdatabanken.no/arter/takson/3927","https://snl.no/bydue","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - særstatus kontrollert"
"Bøksanger","boksanger","publish","Fugler","Phylloscopus sibilatrix","Bøksanger er en liten sangfugl knyttet til skog, særlig eldre løvskog og blandingsskog.","Bøksanger er en slank og grønnlig sangfugl i bladsangergruppen. Den har lys underside, gulgrønt brystparti og en karakteristisk sang som ofte beskrives som en akselererende trill. Arten er knyttet til skog, særlig eldre løvskog og blandingsskog med åpen bunnvegetasjon.","Ca. 12–13 cm","Ca. 8–12 g","Grønnlig overside, lys underside, gulgrønt bryst og tydelig lys øyenbrynstripe. Sangen er kraftig og trillende.","Skog, særlig løvskog og blandingsskog.","Hekker spredt i egnede skogsområder i Norge.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4371","https://artsdatabanken.no/arter/takson/4371","https://snl.no/b%C3%B8ksanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Båndkorsnebb","baandkorsnebb","publish","Fugler","Loxia leucoptera","Båndkorsnebb er en sjelden korsnebb med tydelige hvite vingebånd og tilknytning til barskog.","Båndkorsnebb er en fink med kryssende nebbspisser, tilpasset frø fra kongler. Den skiller seg fra andre korsnebber på tydelige hvite vingebånd. Arten opptrer uregelmessig i Norge og er knyttet til barskog og tilgang på konglefrø.","Ca. 15–17 cm","Ca. 25–40 g","Kryssende nebbspisser og to tydelige hvite vingebånd. Hannen er ofte rødlig, hunnen gulgrønn eller grågrønn.","Barskog, særlig områder med god tilgang på konglefrø.","Uregelmessig opptreden i Norge, særlig i barskogsområder.","Kan opptre hele året, men forekomsten varierer mye med frøtilgang og invasjoner.","Frø fra kongler, særlig gran og lerk, samt andre frø.","Ikke sikker ordinær rødlistekategori i Artsdatabanken-visningen","Finnes i Norge, men opptrer uregelmessig.","203850","https://artsdatabanken.no/arter/takson/203850","https://snl.no/b%C3%A5ndkorsnebb","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - rødlistefelt bør etterkontrolleres"
"Dobbeltbekkasin","dobbeltbekkasin","publish","Fugler","Gallinago media","Dobbeltbekkasin er en stor snipe som hekker i våtmark og fjellnære områder.","Dobbeltbekkasin er en stor og kraftig snipe med lang nebb og brunspettet kamuflasjedrakt. Arten er knyttet til våtmarker, myrer og fjellområder. Hannene samles på spillplasser der de viser seg fram for hunnene. Den lever av marklevende smådyr.","Ca. 26–30 cm","Ca. 150–250 g","Stor og kraftig snipe med lang nebb, brunspettet drakt og tydelige hvite partier i stjert og vinger i flukt.","Våtmark, myr og fjellområder.","Hekker lokalt i Norge, særlig i fjell- og våtmarksområder.","Trekkfugl. Hekker i Norge vår og sommer.","Meitemark, insekter, larver og andre smådyr i jord og våtmark.","NT – Nær truet","Finnes i Norge. Etablert hekkefugl.","3697","https://artsdatabanken.no/arter/takson/3697","https://snl.no/dobbeltbekkasin","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Dompap","dompap","publish","Fugler","Pyrrhula pyrrhula","Dompap er en kraftig fink med kort nebb. Hannen har rød underside og svart hette, mens hunnen er mer gråbrun.","Dompap er en rolig og lett gjenkjennelig fink som ofte forbindes med vinter og fuglematere. Den trives i skog og skogkanter, og kan oppsøke hager og fôringsplasser. Hannen er fargerik med rød underside, mens hunnen har de samme tegningene, men med gråbrun underside.","15–17 cm","Ca. 25 g","Kort, kraftig nebb, svart hette og strupe, grå rygg, hvit overgump og hvitt vingebånd. Hannen har rød underside, hunnen gråbrun.","Skog, skogkanter, hager og parker.","Finnes som hekkefugl i store deler av Norge der det finnes egnet skog.","Hele året mange steder. Kan opptre mer synlig ved fuglematere om vinteren.","Frø, knopper, bær og noe insekter i hekketiden. På fuglemater tar den gjerne solsikkefrø og andre frø.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203755","https://artsdatabanken.no/arter/takson/203755","https://snl.no/dompap","https://www.fuglevennen.no/arter/?or_id=507","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Duetrost","duetrost","publish","Fugler","Turdus viscivorus","Duetrost er en stor trost som hekker i skog og åpne skoglandskap.","Duetrost er den største av de vanlige trostene i Norge. Den har gråbrun overside, lys underside med runde mørke flekker og kraftig, bærende sang. Arten hekker i skog, skogkanter og åpne områder med trær, og lever av meitemark, insekter, snegler og bær.","Ca. 26–29 cm","Ca. 100–140 g","Stor trost med gråbrun overside, lys underside med runde mørke flekker og kraftig kropp. Lys underside på vingene i flukt.","Skog, skogkanter, parker og åpne landskap med trær.","Hekker spredt i store deler av Norge.","Trekkfugl eller delvis overvintrende i milde områder.","Meitemark, insekter, snegler, bær og frukt.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203725","https://artsdatabanken.no/arter/takson/203725","https://snl.no/duetrost","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Dvergdykker","dvergdykker","publish","Fugler","Tachybaptus ruficollis","Dvergdykker er en liten dykker knyttet til ferskvann, dammer og grunne våtmarker.","Dvergdykker er en liten vannfugl som lever skjult i vegetasjonsrike dammer, tjern og våtmarker. Den har kompakt kropp, kort hals og mørk drakt, med kastanjebrunt på halsen i sommerdrakt. Arten dykker etter smådyr og er vurdert som sterkt truet i Norge.","Ca. 23–29 cm","Ca. 130–240 g","Svært liten dykker med kompakt kropp og kort nebb. Sommerdrakt med mørk kropp og kastanjebrun hals.","Ferskvann, dammer, tjern, vegetasjonsrike våtmarker og brakkvannsområder.","Fåtallig og lokal i Norge.","Hekker vår og sommer. Noen kan overvintre i isfrie områder.","Små fisk, insekter, larver, krepsdyr og andre smådyr som fanges under vann.","EN – Sterkt truet","Finnes i Norge. Fåtallig hekkefugl.","203524","https://artsdatabanken.no/arter/takson/203524","https://snl.no/dvergdykker","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Dvergfalk","dvergfalk","publish","Fugler","Falco columbarius","Dvergfalk er Norges minste falk og en rask rovfugl som jakter småfugl og insekter.","Dvergfalk er en liten, hurtig og smidig falk. Den hekker i åpne landskap, fjellnære områder, våtmarkskanter og skogsområder, ofte i gamle kråkereir eller på bakken. Arten jakter særlig småfugl, men tar også større insekter.","Ca. 25–33 cm","Ca. 125–300 g","Liten falk med spisse vinger og rask flukt. Hannen er blågrå overside og rustfarget underside, hunnen er brunere.","Skog, semi-naturlig mark, våtmark og fjellområder.","Hekker i store deler av Norge i egnede åpne og fjellnære landskap.","Trekkfugl eller delvis trekkfugl. Ses vanligst vår til høst.","Småfugl og større insekter.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3831","https://artsdatabanken.no/arter/takson/3831","https://snl.no/dvergfalk","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Dvergfluesnapper","dvergfluesnapper","publish","Fugler","Ficedula parva","Dvergfluesnapper er en liten fluesnapper som hekker fåtallig i eldre skog.","Dvergfluesnapper er en liten og diskret fluesnapper. Hannen kan ha oransjerød strupe, mens hunner og ungfugler er gråbrune og mer uanselige. Arten er knyttet til eldre, fuktig og løvrik skog, ofte med innslag av døde trær og hulrom. Den lever av insekter og andre smådyr.","Ca. 11–12 cm","Ca. 8–12 g","Svært liten fluesnapper. Hannen kan ha oransjerød strupe, grått hode og brunlig overside. Hunnen er mer gråbrun.","Skog, særlig eldre løv- og blandingsskog.","Fåtallig hekkefugl i Norge, særlig i egnede skogområder.","Trekkfugl. Hekker i Norge vår og sommer.","Insekter og andre smådyr, ofte fanget i luft eller på blader og greiner.","LC – Livskraftig","Finnes i Norge. Etablert, men fåtallig hekkefugl.","4262","https://artsdatabanken.no/arter/takson/4262","https://snl.no/dvergfluesnapper","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Dverggås","dverggaas","publish","Fugler","Anser erythropus","Dverggås er den minste og sjeldneste av de gråbrune gjessene som hekker i Norge.","Dverggås er en liten og rund gås med kort nebb, hvitt pannebliss, gul øyering og mørke bukflekker. I Norge forekommer den nå som hekkefugl i Finnmark. Arten er svært fåtallig og vurdert som kritisk truet.","Ca. 53–66 cm","Ca. 1,4–2,3 kg","Liten gråbrun gås med hvitt pannebliss som går langt opp i pannen, gul øyering og svarte flekker på buken.","Våtmark, fjellnære hekkeområder og rasteplasser med beitemark og gruntvannsområder.","I Norge forekommer den nå hovedsakelig som hekkefugl i Finnmark.","Trekkfugl. Hekker i Norge om sommeren.","Planteføde som gras, urter, røtter og andre plantedeler.","CR – Kritisk truet","Finnes i Norge. Svært fåtallig etablert hekkefugl.","3441","https://artsdatabanken.no/arter/takson/3441","https://snl.no/dvergg%C3%A5s","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Dverglo","dverglo","publish","Fugler","Thinornis dubius","Dverglo er en liten lofugl som hekker på åpne grus- og sandflater nær ferskvann.","Dverglo er en liten vadefugl med tydelig hode- og brysttegning. Den hekker på åpne, vegetasjonsfattige flater, ofte langs elver, innsjøer, grustak eller andre menneskepåvirkede grusflater. Arten finner mat ved å plukke smådyr fra bakken og strandsonen.","Ca. 14–17 cm","Ca. 30–50 g","Liten lo med brun overside, hvit underside, svart brystbånd og tydelig gul øyering. Mangler tydelig vingebånd i flukt.","Ferskvann, flomsoner, grusflater og sterkt endret mark.","Hekker lokalt i Norge der det finnes åpne grus- eller sandflater nær vann.","Trekkfugl. Hekker i Norge vår og sommer.","Små insekter, larver, edderkopper og andre smådyr.","VU – Sårbar","Finnes i Norge. Etablert, men fåtallig hekkefugl.","225780","https://artsdatabanken.no/arter/takson/225780","https://snl.no/dverglo","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Dvergmåke","dvergmaake","publish","Fugler","Hydrocoloeus minutus","Dvergmåke er en liten måkeart knyttet til våtmark og ferskvann, og er vurdert som sårbar i Norge.","Dvergmåke er den minste måken i Norge. Den har lette bevegelser, mørk hette i sommerdrakt og mørk underside på vingene hos voksne fugler. Arten hekker lokalt i våtmark og ved ferskvann og lever av smådyr, særlig insekter og andre små organismer.","Ca. 25–30 cm","Ca. 100–150 g","Svært liten måke med mørk hette i sommerdrakt og mørk underside på vingene hos voksne fugler. Lett og elegant flukt.","Ferskvann og våtmark.","Lokal og fåtallig hekkefugl i Norge.","Trekkfugl. Ses i Norge særlig vår, sommer og under trekk.","Insekter, små krepsdyr og andre smådyr, ofte tatt fra vannoverflaten eller i lufta.","VU – Sårbar","Finnes i Norge. Fåtallig hekkefugl.","3622","https://artsdatabanken.no/arter/takson/3622","https://snl.no/dvergm%C3%A5ke","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Dvergsnipe","dvergsnipe","publish","Fugler","Calidris minuta","Dvergsnipe er en svært liten snipe som hekker i fjell- og våtmarksområder og opptrer langs kysten under trekk.","Dvergsnipe er en av de minste vadefuglene. Den har kort nebb, liten kropp og raske bevegelser. Arten hekker i fjell- og våtmarksområder og sees ofte på mudderflater, strender og gruntvannsområder under trekk. Den lever av små virvelløse dyr.","Ca. 12–14 cm","Ca. 20–30 g","Svært liten snipe med kort nebb, mørkbrun overside i sommerdrakt og hvit underside. Raske bevegelser langs mudderflater.","Fjell, våtmark, mudderflater og grunne strandsoner under trekk.","Finnes i Norge som hekkefugl og trekkfugl, særlig i egnede nordlige og høyereliggende områder.","Trekkfugl. Hekker i sommerhalvåret og ses også under trekk.","Små insekter, larver, krepsdyr og andre virvelløse dyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3689","https://artsdatabanken.no/arter/takson/3689","https://snl.no/dvergsnipe","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
