"post_title","post_name","post_status","artsgruppe","vitenskapelig_navn","engelsk_navn","kort_beskrivelse","lang_beskrivelse","storrelse","vekt","kjennetegn","levested","utbredelse","sesong_aktiv_periode","mat_naering","rodlistestatus","status_i_norge","artsdatabanken_takson_id","kilde_artsdatabanken","kilde_snl","kilde_fuglevennen_miljolaere","kilde_birdlife_fugleatlas","sist_kontrollert","importstatus"
"Fossekall","fossekall","publish","Fugler","Cinclus cinclus","White-throated Dipper","Fossekall er Norges nasjonalfugl og lever langs rennende vann der den dykker etter smådyr.","<h2>Om fossekall</h2><p>Fossekall (<em>Cinclus cinclus</em>) er en art i artsgruppen fugler i Naturblikk. Fossekall er Norges nasjonalfugl og lever langs rennende vann der den dykker etter smådyr. I Norge er arten registrert med status: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h3>Kjennetegn</h3><p>Mørk brun eller svartaktig kropp med stor hvit strupe og bryst. Vipper ofte med kroppen når den sitter på steiner ved vann. Størrelse: Ca. 17–20 cm. Vekt: Ca. 50–75 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille fossekall fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til ferskvann, særlig bekker, elver og fosser med klart rennende vann. Hekker ved egnede vassdrag i store deler av Norge. Forekomsten gjennom året beskrives slik: Hele året der vannet er isfritt, men kan flytte seg til åpne vassdrag vinterstid.</p><h3>Mat og adferd</h3><p>Fossekall lever av vannlevende insektlarver, små krepsdyr, snegler og annen smådyrfauna i rennende vann. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Hele året der vannet er isfritt, men kan flytte seg til åpne vassdrag vinterstid. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Etablert hekkefugl. Arten er oppført med rødlistestatus LC – Livskraftig. Artsdatabanken-takson-ID: 203738. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 17–20 cm","Ca. 50–75 g","Mørk brun eller svartaktig kropp med stor hvit strupe og bryst. Vipper ofte med kroppen når den sitter på steiner ved vann.","Ferskvann, særlig bekker, elver og fosser med klart rennende vann.","Hekker ved egnede vassdrag i store deler av Norge.","Hele året der vannet er isfritt, men kan flytte seg til åpne vassdrag vinterstid.","Vannlevende insektlarver, små krepsdyr, snegler og annen smådyrfauna i rennende vann.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203738","https://artsdatabanken.no/arter/takson/203738","https://snl.no/fossekall","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 2 - grunnfelt kontrollert"
"Fuglekonge","fuglekonge","publish","Fugler","Regulus regulus","Goldcrest","Fuglekonge er Norges minste fugl og en livlig insekteter i barskog og blandingsskog.","<h2>Om fuglekonge</h2><p>Fuglekonge (<em>Regulus regulus</em>) er en art i artsgruppen fugler i Naturblikk. Fuglekonge er Norges minste fugl og en livlig insekteter i barskog og blandingsskog. I Norge er arten registrert med status: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h3>Kjennetegn</h3><p>Meget liten fugl med grønnlig overside, lys underside, mørk øyestripe og gul/oransje isse. Tynn, høy kontaktlyd. Størrelse: Ca. 8,5–9,5 cm. Vekt: Ca. 5–7 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille fuglekonge fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til skog, særlig barskog og blandingsskog. Hekker i store deler av Norge der det finnes egnet barskog. Forekomsten gjennom året beskrives slik: Hele året i mange områder, men noen individer trekker eller streifer.</p><h3>Mat og adferd</h3><p>Fuglekonge lever av små insekter, larver og edderkopper. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Hele året i mange områder, men noen individer trekker eller streifer. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Etablert hekkefugl. Arten er oppført med rødlistestatus LC – Livskraftig. Artsdatabanken-takson-ID: 203716. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 8,5–9,5 cm","Ca. 5–7 g","Meget liten fugl med grønnlig overside, lys underside, mørk øyestripe og gul/oransje isse. Tynn, høy kontaktlyd.","Skog, særlig barskog og blandingsskog.","Hekker i store deler av Norge der det finnes egnet barskog.","Hele året i mange områder, men noen individer trekker eller streifer.","Små insekter, larver og edderkopper.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203716","https://artsdatabanken.no/arter/takson/203716","https://snl.no/fuglekonge","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 2 - grunnfelt kontrollert"
"Furukorsnebb","furukorsnebb","publish","Fugler","Loxia pytyopsittacus","Parrot Crossbill","Furukorsnebb er en kraftig fink med kryssende nebbspisser, tilpasset frø fra furukongler.","<h2>Om furukorsnebb</h2><p>Furukorsnebb (<em>Loxia pytyopsittacus</em>) er en art i artsgruppen fugler i Naturblikk. Furukorsnebb er en kraftig fink med kryssende nebbspisser, tilpasset frø fra furukongler. I Norge er arten registrert med status: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h3>Kjennetegn</h3><p>Kraftig fink med stort kryssnebb. Hannen er ofte rødlig, hunnen gulgrønn eller grågrønn. Større og kraftigere nebb enn grankorsnebb. Størrelse: Ca. 16–18 cm. Vekt: Ca. 45–60 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille furukorsnebb fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til barskog, særlig furuskog. Hekker i barskogsområder i Norge, særlig der det er god tilgang på furufrø. Forekomsten gjennom året beskrives slik: Hele året. Hekkingen kan skje tidlig og styres av konglefrøtilgang.</p><h3>Mat og adferd</h3><p>Furukorsnebb lever av frø fra furukongler og andre bartrær. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Hele året. Hekkingen kan skje tidlig og styres av konglefrøtilgang. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Etablert hekkefugl. Arten er oppført med rødlistestatus LC – Livskraftig. Artsdatabanken-takson-ID: 4171. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 16–18 cm","Ca. 45–60 g","Kraftig fink med stort kryssnebb. Hannen er ofte rødlig, hunnen gulgrønn eller grågrønn. Større og kraftigere nebb enn grankorsnebb.","Barskog, særlig furuskog.","Hekker i barskogsområder i Norge, særlig der det er god tilgang på furufrø.","Hele året. Hekkingen kan skje tidlig og styres av konglefrøtilgang.","Frø fra furukongler og andre bartrær.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4171","https://artsdatabanken.no/arter/takson/4171","https://snl.no/furukorsnebb","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 2 - grunnfelt kontrollert"
"Gjerdesmett","gjerdesmett","publish","Fugler","Troglodytes troglodytes","Eurasian Wren","Gjerdesmett er en av Norges minste fugler, men har en uventet kraftig sang og en kort stjert som ofte står rett opp.","<h2>Om gjerdesmett</h2><p>Gjerdesmett (<em>Troglodytes troglodytes</em>) er en liten og rastløs fugl som holder seg nær bakken i tett vegetasjon. Den piler mellom røtter, steiner og busker og kan være vanskelig å få øye på, selv når den synger like i nærheten.</p><h2>Kjennetegn</h2><p>Fuglen er rund og kompakt, med brun tverrstripet drakt, tynt svakt buet nebb og svært kort stjert som ofte bæres nesten loddrett. Kjønnene er like. Den museaktige måten å bevege seg på er også et godt kjennetegn.</p><h2>Levested og utbredelse</h2><p>Gjerdesmetten trives i skog, kratt, steinurer, rotvelter og hager med tett vegetasjon. Den er vanligst i kyststrøk og dalfører i Sør-Norge, men hekker også lenger nord der forholdene passer.</p><h2>Mat og atferd</h2><p>Den lever hovedsakelig av insekter, edderkopper og andre smådyr som plukkes fra bakken og vegetasjonen. Om vinteren kan den også spise litt bær og frø.</p><h2>Lyd</h2><p>Sangen er overraskende kraftig i forhold til kroppsstørrelsen og består av raske, trillende strofer. Varsellyden er et hardt og ofte gjentatt «tsjekk».</p><h2>Hekking</h2><p>Hannen bygger gjerne flere nesten ferdige, kuleformede reir før hunnen velger ett av dem. Reiret plasseres i tett vegetasjon, bergsprekker, bygninger eller egnede fuglekasser. Vanlig kullstørrelse er fem til åtte egg.</p><h2>Status</h2><p>Gjerdesmett er en etablert hekkefugl i Norge og er vurdert som LC – Livskraftig på Norsk rødliste for arter.</p>","Ca. 9–10 cm","Ca. 6–12 g","Svært liten og rund fugl med brun tverrstripet drakt, tynt svakt buet nebb og kort stjert som ofte står rett opp.","Skog, kratt, steinurer, rotvelter, hager og andre områder med tett vegetasjon nær bakken.","Vanligst i kyststrøk og dalfører i Sør-Norge, men hekker også spredt nordover.","Delvis trekkfugl. Mange overvintrer i milde kyststrøk, mens andre trekker til Vest-Europa.","Insekter, edderkopper og andre smådyr. Kan også spise litt bær og frø om vinteren.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203717","https://artsdatabanken.no/arter/takson/203717","https://snl.no/gjerdesmett","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 3 og språkvasket 2026-07-15"
"Gjøk","gjok","publish","Fugler","Cuculus canorus","Common Cuckoo","Gjøk er Norges eneste reirparasitt og er lettest å oppdage på hannens velkjente «ko-ko» om våren.","<h2>Om gjøk</h2><p>Gjøk (<em>Cuculus canorus</em>) er en langvinget trekkfugl som finnes over hele Norge i sommerhalvåret. Den er særlig kjent fordi hunnen legger egg i andre fuglers reir og overlater ruging og ungepleie til vertsfuglen.</p><h2>Kjennetegn</h2><p>Gjøken har lang stjert, spisse vinger og en slank kropp som i flukt kan minne om en liten rovfugl. Hannen og den vanligste hunntypen er skifergrå med lys, tverrstripet underside. Enkelte hunner er tydelig rødbrune og mørkt tverrstripet.</p><h2>Levested og utbredelse</h2><p>Arten hekker over hele landet fra kystskog og kulturlandskap til fjellbjørkeskog og områder like over tregrensa. Forekomsten følger i stor grad tilgangen på egnede vertsfugler, særlig heipiplerke.</p><h2>Mat og atferd</h2><p>Gjøken spiser hovedsakelig insekter og er spesielt kjent for å ta hårete sommerfugllarver som mange andre fugler unngår. Den tar også biller, gresshopper, øyenstikkere og av og til fugleegg.</p><h2>Lyd</h2><p>Hannens kraftige «ko-ko» er en av de mest gjenkjennelige fuglelydene i norsk natur. Hunnen har en rask, boblende eller trillende lyd som er svært ulik hannens rop.</p><h2>Hekking</h2><p>Gjøken bygger ikke eget reir. Hver hunn er vanligvis spesialisert på én vertsart og legger egg som ligner vertens egne. Gjøkungen klekkes tidlig og skyver ofte vertens egg eller unger ut av reiret, før den fôres opp alene av fosterforeldrene.</p><h2>Trekk og status</h2><p>Gjøken kommer vanligvis tilbake i mai og trekker til tropisk og sørlig Afrika sensommer og høst. Den norske bestanden har gått tilbake, og arten er vurdert som NT – Nær truet.</p>","Ca. 32–33 cm","Ca. 115 g","Lang stjert, spisse vinger og lys, tverrstripet underside. Hannen og den vanligste hunntypen er skifergrå; enkelte hunner er rødbrune.","Skog, kulturlandskap, våtmark, fjellbjørkeskog og åpne områder med egnede vertsfugler.","Hekker over hele Norge fra kysten til fjellbjørkebeltet og enkelte områder over tregrensa.","Trekkfugl. Kommer hovedsakelig i mai; voksne trekker sørover fra slutten av juli, ungfuglene senere.","Insekter, særlig sommerfugllarver, men også biller, gresshopper og øyenstikkere. Tar av og til fugleegg.","NT – Nær truet","Finnes i Norge. Etablert hekkefugl med bestandsnedgang.","203505","https://artsdatabanken.no/arter/takson/203505","https://snl.no/gj%C3%B8k","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 4 og språkvasket 2026-07-15"
"Gluttsnipe","gluttsnipe","publish","Fugler","Tringa nebularia","Common Greenshank","Gluttsnipe er Norges største Tringa-snipe og kjennes på det lange, svakt oppoverbøyde nebbet og den hvite ryggkilen i flukt.","<h2>Om gluttsnipe</h2><p>Gluttsnipe (<em>Tringa nebularia</em>) er en stor og lys vadefugl som hekker ved myrer, skogstjern og andre våtmarker. Den er ofte vaktsom og varsler høylytt når mennesker eller rovdyr nærmer seg hekkeområdet.</p><h2>Kjennetegn</h2><p>Arten har lange grågrønne bein og et langt, mørkt nebb som bøyer seg svakt oppover. Hode, hals og bryst er streket, mens buken er hvit. I flukt sees mørke vinger, hvit stjert og en bred hvit kile som fortsetter oppover ryggen.</p><h2>Levested og utbredelse</h2><p>I Norge hekker gluttsnipe i indre deler av Sør-Norge og fra Trøndelag nordover til Finnmark, både langs kysten og i innlandet. Den bruker skogmyrer, innsjøkanter og andre våtmarker, og raster gjerne på mudderflater og grunne strandsoner under trekket.</p><h2>Mat og atferd</h2><p>Gluttsnipa vader i grunt vann og fanger insekter, larver, små krepsdyr, bløtdyr og av og til småfisk. Den kan løpe aktivt etter byttet og sveipe nebbet gjennom vannet.</p><h2>Lyd</h2><p>Varsel- og kontaktlyden høres ofte som en tydelig serie «tju-tju-tju». I hekketiden framfører fuglen en gjentatt sangflukt med klare, rytmiske strofer.</p><h2>Hekking</h2><p>Reiret er en enkel grop på bakken, gjerne skjult mellom lyng eller annen lav vegetasjon. Kullet består vanligvis av fire egg, og begge foreldrene deltar i ruging og ungepass.</p><h2>Trekk og status</h2><p>Gluttsnipe er trekkfugl og overvintrer i Vest-Europa, Afrika og Sør-Asia. Arten er vurdert som LC – Livskraftig i Norge.</p>","Ca. 30–34 cm","Ca. 150–280 g","Stor, lys snipe med lange grågrønne bein og langt, svakt oppoverbøyd nebb. Hvit overgump og bred hvit kile oppover ryggen i flukt.","Skogmyrer, innsjøkanter, grunne våtmarker, mudderflater og strandsoner.","Hekker i indre deler av Sør-Norge og fra Trøndelag nordover til Finnmark, både ved kysten og i innlandet.","Trekkfugl. Ses fra våren til sensommeren og under høsttrekket.","Insekter og larver, små krepsdyr, bløtdyr, mark og av og til småfisk.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3732","https://artsdatabanken.no/arter/takson/3732","https://snl.no/gluttsnipe","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 4 og språkvasket 2026-07-15"
"Grankorsnebb","grankorsnebb","publish","Fugler","Loxia curvirostra","Common Crossbill","Grankorsnebb er en kraftig fink med kryssende nebbspisser, spesialisert på å hente frø fra grankongler.","<h2>Om grankorsnebb</h2><p>Grankorsnebb (<em>Loxia curvirostra</em>) er en nomadisk barskogsfugl som følger tilgangen på konglefrø. I gode frøår kan arten opptre tallrikt og hekke på tider av året da få andre norske fugler har unger.</p><h2>Kjennetegn</h2><p>Det mest særpregede kjennetegnet er nebbet, der spissene krysser hverandre og fungerer som et redskap for å åpne kongleskjell. Voksne hanner er vanligvis røde, hunner gulgrønne og ungfugler gråbrune med kraftig streket underside. Arten er mindre og har slankere nebb enn furukorsnebb.</p><h2>Levested og utbredelse</h2><p>Grankorsnebb er særlig knyttet til granskog og annen barskog i Sør-Norge og nordover til Nordland. Forekomsten varierer sterkt mellom år fordi flokker kan flytte over svært lange avstander når frøtilgangen svikter.</p><h2>Mat og atferd</h2><p>Fuglen klatrer smidig i trekronene og bruker det spesialiserte nebbet til å trekke frø ut av grankongler. Den spiser også frø fra andre bartrær og kan supplere med knopper og små virvelløse dyr.</p><h2>Lyd</h2><p>Fluktlyden er et kort, metallisk og vidtrekkende «glipp-glipp». Sangen er en knirkende, men klangfull rekke av korte toner og kontaktlyder.</p><h2>Hekking</h2><p>Hekkingen styres mer av konglefrø enn av årstiden og kan starte allerede om vinteren. Reiret bygges høyt i et bartre og isoleres godt med plantemateriale, lav og fjær.</p><h2>Status</h2><p>Grankorsnebb er en etablert hekkefugl i Norge. Bestanden svinger kraftig, men arten er vurdert som LC – Livskraftig.</p>","Ca. 15–17 cm","Ca. 35–50 g","Kraftig fink med kryssende nebbspisser. Voksne hanner er ofte røde, hunner gulgrønne og ungfugler gråbrune og streket. Slankere nebb enn furukorsnebb.","Barskog, særlig granskog og områder med god tilgang på konglefrø.","Hekker hovedsakelig i barskog fra Sør-Norge nordover til Nordland, men kan opptre over store områder under invasjoner.","Hele året. Nomadisk og invasjonsartet; hekking kan foregå til ulike årstider når konglefrøtilgangen er god.","Hovedsakelig frø fra grankongler og andre bartrær, men også knopper og enkelte små virvelløse dyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl med store årlige bestandsvariasjoner.","203762","https://artsdatabanken.no/arter/takson/203762","https://snl.no/grankorsnebb","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 4 og språkvasket 2026-07-15"
"Granmeis","granmeis","publish","Fugler","Poecile montanus","Willow Tit","Granmeis er en stedbunden skogmeis med matt svart hette og et diffust, lyst vingefelt. Arten er vurdert som sårbar i Norge.","<h2>Om granmeis</h2><p>Granmeis (<em>Poecile montanus</em>) er en skogmeis som finnes i barskog, blandingsskog og fjellbjørkeskog over store deler av landet. Den er svært stedbunden og kan forsvare det samme området gjennom hele året.</p><h2>Kjennetegn</h2><p>Granmeisa har matt svart hette, hvite kinn, svart strupeflekk og grå overside. Et diffust, lyst felt langs vingen er et viktig kjennetegn. Arten er svært lik løvmeis, men virker gjerne gråere, kraftigere i nakken og mer rufsete i fjærdrakten.</p><h2>Levested og utbredelse</h2><p>Arten finnes i skog over hele Norge og opptrer også i fjellbjørkeskog og fuktige skogkanter nær myr. Den er særlig knyttet til områder med gamle, svekkede eller morkne trær som gir gode reirplasser.</p><h2>Mat og atferd</h2><p>Om sommeren spiser granmeisa mest insekter og edderkopper, mens frø blir viktigere om vinteren. Den hamstrer store mengder frø og smådyr i barksprekker og blant lav og mose og bruker hukommelsen til å finne maten igjen.</p><h2>Lyd</h2><p>Lokkelåten har ofte en karakteristisk, nasal og klagende avslutning. Sangen er gjerne en rolig rekke av vemodige, fallende toner.</p><h2>Hekking og fuglekasse</h2><p>Granmeis hakker ofte ut sitt eget reirhull i morken ved. Eggene legges vanligvis i mai–juni. Et kull består ofte av rundt åtte egg, som hunnen ruger i omtrent 14–15 dager. Ungene forlater reiret etter 17–19 dager og holder seg deretter sammen med foreldrene en periode.</p><h2>Ved fuglemater</h2><p>Arten kan besøke fuglematere, særlig i eller nær skog. Den tar gjerne solsikkefrø og fett, men henter ofte maten raskt og gjemmer den til senere.</p><h2>Status</h2><p>Granmeis er en etablert hekkefugl i Norge, men bestanden har gått tilbake. Arten er vurdert som VU – Sårbar. Artsdatabanken-takson-ID: 203852.</p>","Ca. 12 cm","11–14 g","Matt svart hette, hvite kinn, svart strupeflekk og grå overside med et diffust, lyst vingefelt. Svært lik løvmeis.","Barskog, blandingsskog, fjellbjørkeskog og fuktige skogområder, gjerne med morkne trær og død ved.","Finnes over hele Norge i egnede skogområder, også i bjørkebeltet på fjellet.","Hele året. Svært stedbunden, men særlig ungfugler kan streife sørvestover enkelte høster.","Insekter og edderkopper om sommeren og frø om vinteren. Hamstrer store mengder frø og smådyr i barksprekker og blant mose og lav.","VU – Sårbar","Finnes i Norge. Etablert hekkefugl med bestandsnedgang.","203852","https://artsdatabanken.no/arter/takson/203852","https://snl.no/granmeis","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-14","Fullstendig kvalitetssikret – språkvasket 2026-07-14"
"Gransanger","gransanger","publish","Fugler","Phylloscopus collybita","Common Chiffchaff","Gransanger er en av Norges minste hekkefugler og kjennes best på den taktfast gjentatte «chiff-chaff»-sangen.","<h2>Om gransanger</h2><p>Gransanger (<em>Phylloscopus collybita</em>) er en liten bladsanger som lever i skog og buskrike kantområder. Den ligner sterkt på løvsanger, men avsløres som regel raskt av den helt annerledes sangen.</p><h2>Kjennetegn</h2><p>Arten har brungrønn overside, gulhvit underside og en lys stripe over øyet. Beina er vanligvis mørkere enn hos løvsanger, og vingene virker kortere. Utseendet alene er ikke alltid nok til sikker artsbestemmelse.</p><h2>Levested og utbredelse</h2><p>Gransanger hekker fra Sørlandet til Troms og trolig lokalt i Finnmark. Den finnes i mange skogtyper, men foretrekker ofte åpen blandingsskog, skogkanter og buskrike områder.</p><h2>Mat og atferd</h2><p>Den leter aktivt etter små insekter og larver i løvverk og på greiner. Utenfor hekketiden kan den også spise mindre mengder bær.</p><h2>Lyd</h2><p>Sangen består av en taktfast rekke lyse og mørke toner som ofte gjengis som «chiff-chaff». Den enkle rytmen er det sikreste feltkjennetegnet mot løvsanger.</p><h2>Hekking</h2><p>Det overbygde reiret har inngang fra siden og plasseres lavt, ofte nær bakken i en busk eller blant tett vegetasjon. Hunnen ruger vanligvis fem til åtte egg i omtrent 13 dager, og ungene forlater reiret etter ytterligere rundt to uker.</p><h2>Trekk og status</h2><p>De fleste norske gransangere er trekkfugler og oppholder seg i landet fra vår til høst. Arten er vurdert som LC – Livskraftig.</p>","Ca. 11 cm","Ca. 6–10 g","Svært liten bladsanger med brungrønn overside, gulhvit underside, lys øyenbrynstripe og vanligvis mørke bein. Best kjent på «chiff-chaff»-sangen.","Blandingsskog, løvskog, skogkanter og andre buskrike områder.","Hekker over store deler av Norge fra Sørlandet til Troms og trolig lokalt i Finnmark.","Trekkfugl. Hovedsakelig i Norge fra tidlig vår til høst; enkelte kan overvintre i milde områder.","Små insekter, larver og andre virvelløse dyr; kan også spise noe bær.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4360","https://artsdatabanken.no/arter/takson/4360","https://snl.no/gransanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 4 og språkvasket 2026-07-15"
"Gravand","gravand","publish","Fugler","Tadorna tadorna","Common Shelduck","Gravand er en stor og kontrastrik and med mørkegrønt hode, kastanjebrunt brystbånd og rødt nebb.","<h2>Om gravand</h2><p>Gravand (<em>Tadorna tadorna</em>) er en stor kystand som ofte virker som en mellomform mellom and og gås. Den er blant de tidligste trekkfuglene som vender tilbake til norskekysten om våren.</p><h2>Kjennetegn</h2><p>Den hvite kroppen, det brede kastanjebrune brystbåndet, svarte skulderpartiet og mørkegrønne hodet gjør arten lett å kjenne igjen. Begge kjønn har rødt nebb, men den voksne hannen har en tydelig rød knøl ved nebbroten.</p><h2>Levested og utbredelse</h2><p>Gravand hekker langs hele norskekysten nordover til Varangerhalvøya. Den foretrekker grunne kystområder, mudderflater, strandenger og brakkvann, men finnes også ved enkelte kystnære ferskvann.</p><h2>Mat og atferd</h2><p>Arten filtrerer føde fra mudder og grunt vann. Snegler, muslinger, krepsdyr og andre virvelløse dyr er viktigst, men alger, frø og korn kan også inngå i kosten.</p><h2>Lyd</h2><p>Hunnen har grove, nasale og kneggende rop, mens hannen gir mykere fløyte- og plystrelyder.</p><h2>Hekking</h2><p>Reiret legges ofte i et hulrom, for eksempel i en steinur, under en bygning eller i et forlatt reve- eller grevlinghi. Ungene forlater reiret kort tid etter klekking og føres til vannet, der flere kull av og til samles i større ungeflokker.</p><h2>Trekk og status</h2><p>Voksne fugler trekker til Vadehavet for å myte på sensommeren, og de fleste norske gravender overvintrer lenger sør i Vest-Europa. Arten er vurdert som LC – Livskraftig.</p>","Ca. 55–65 cm","Ca. 0,8–1,5 kg","Stor, hvit and med mørkegrønt hode, bredt kastanjebrunt brystbånd, svarte skulderpartier og rødt nebb. Hannen har tydelig nebbknøl.","Grunne kystområder, mudderflater, strandenger, fjæresone, brakkvann og enkelte kystnære ferskvann.","Hekker langs hele norskekysten nordover til Varangerhalvøya.","Tidlig trekkfugl om våren. Voksne drar til Vadehavet for myting på sensommeren; de fleste overvintrer i Vest-Europa.","Snegler, muslinger, krepsdyr og andre virvelløse dyr fra mudder og grunt vann, samt noe alger, frø og korn.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl med økende utbredelse.","3496","https://artsdatabanken.no/arter/takson/3496","https://snl.no/gravand","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 4 og språkvasket 2026-07-15"
"Gresshoppesanger","gresshoppesanger","publish","Fugler","Locustella naevia","Common Grasshopper Warbler","Gresshoppesanger er en skjultlevende sangfugl i tett vegetasjon, kjent for sin lange, sirrende sang.","<h2>Om gresshoppesanger</h2><p>Gresshoppesanger (<em>Locustella naevia</em>) er en art i artsgruppen fugler i Naturblikk. Gresshoppesanger er en skjultlevende sangfugl i tett vegetasjon, kjent for sin lange, sirrende sang. I Norge er arten registrert med status: Finnes i Norge. Etablert, men fåtallig hekkefugl. Rødlistestatusen er VU – Sårbar.</p><h3>Kjennetegn</h3><p>Brunlig sangfugl med stripet overside, lang avrundet stjert og svært karakteristisk, sirrende sang. Størrelse: Ca. 13–14 cm. Vekt: Ca. 12–18 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille gresshoppesanger fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til våtmark, semi-naturlig mark, kyst og områder med tett gras- og buskvegetasjon. Hekker fåtallig og lokalt i Norge, særlig i egnede områder med tett vegetasjon. Forekomsten gjennom året beskrives slik: Trekkfugl. Ses i Norge vår til høst.</p><h3>Mat og adferd</h3><p>Gresshoppesanger lever av insekter, edderkopper og andre smådyr. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Trekkfugl. Ses i Norge vår til høst. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Etablert, men fåtallig hekkefugl. Arten er oppført med rødlistestatus VU – Sårbar. Artsdatabanken-takson-ID: 203674. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 13–14 cm","Ca. 12–18 g","Brunlig sangfugl med stripet overside, lang avrundet stjert og svært karakteristisk, sirrende sang.","Våtmark, semi-naturlig mark, kyst og områder med tett gras- og buskvegetasjon.","Hekker fåtallig og lokalt i Norge, særlig i egnede områder med tett vegetasjon.","Trekkfugl. Ses i Norge vår til høst.","Insekter, edderkopper og andre smådyr.","VU – Sårbar","Finnes i Norge. Etablert, men fåtallig hekkefugl.","203674","https://artsdatabanken.no/arter/takson/203674","https://snl.no/gresshoppesanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 2 - grunnfelt kontrollert"
